participant_id,age,option,choice,identity,reward_1,reward_2,reward_3,probed_identity,probed_reward,context_rwd,trial_n
22.0,9.06,2.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22244.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22245.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22247.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22249.0
22.0,9.06,2.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,22250.0
22.0,9.06,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22251.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.14285714285714285,22253.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22255.0
22.0,9.06,2.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22256.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22258.0
22.0,9.06,2.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22259.0
22.0,9.06,2.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22260.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,22262.0
22.0,9.06,2.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22263.0
22.0,9.06,2.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22264.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22265.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22267.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22268.0
22.0,9.06,2.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22269.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22270.0
22.0,9.06,2.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22271.0
22.0,9.06,2.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22272.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22274.0
22.0,9.06,2.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22275.0
22.0,9.06,2.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22276.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,22278.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22279.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.36363636363636365,22281.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22282.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22283.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22284.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.36363636363636365,22286.0
22.0,9.06,2.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,22287.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22288.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,22289.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22290.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22291.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-0.14285714285714285,22293.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.14285714285714285,22295.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22296.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22297.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22298.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22299.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22300.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.14285714285714285,22302.0
22.0,9.06,2.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,22303.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22304.0
22.0,9.06,2.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22305.0
22.0,9.06,2.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22306.0
22.0,9.06,2.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,22307.0
22.0,9.06,2.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,22308.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,22310.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-0.45454545454545453,22312.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,22314.0
22.0,9.06,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22315.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,22317.0
22.0,9.06,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22318.0
22.0,9.06,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22319.0
22.0,9.06,2.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,22320.0
22.0,9.06,2.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22321.0
22.0,9.06,2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22322.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,22324.0
22.0,9.06,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22325.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22327.0
22.0,9.06,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22328.0
22.0,9.06,2.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,22330.0
22.0,9.06,2.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22331.0
22.0,9.06,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22332.0
22.0,9.06,2.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22333.0
22.0,9.06,2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22334.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-0.45454545454545453,22336.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,22338.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,22340.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22341.0
22.0,9.06,2.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22342.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22343.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-0.14285714285714285,22345.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.14285714285714285,22347.0
22.0,9.06,2.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,22348.0
22.0,9.06,2.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,22349.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,22350.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.14285714285714285,22352.0
22.0,9.06,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.36363636363636365,22354.0
22.0,9.06,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-0.14285714285714285,22356.0
22.0,9.06,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22357.0
