success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
,image,190,201890,0.0-190.0,670.8000002,run_exp/static/images/Set 6_rs/006a.jpg,78,,,,,,learn,SL,
,show_choice,191,203225,0.0-191.0,null,run_exp/static/images/Set 6_rs/006a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,192,203730,0.0-192.0,null,<p></p>,null,,,,,,,,
,image,193,204570,0.0-193.0,839.8999996,run_exp/static/images/Set 6_rs/063a.jpg,78,,,,,,learn,SR,
,show_choice,194,205732,0.0-194.0,null,run_exp/static/images/Set 6_rs/063a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,195,206237,0.0-195.0,null,<p></p>,null,,,,,,,,
,test_intro,196,247625,0.0-196.0,null,run_exp/static/audio/clip_2_memory.m4a,null,,,,,"<div class='center'><p>Now, let’s see how much you remember about the items you just saw.  For each item, you need to indicate if it was <b>old</b> by pressing the <b>v</b> key, <b>similar</b> by pressing the <b>b</b> key, or <b>new</b> by pressing the <b>n</b> key.</p><p>Old refers to an item that you saw before in the indoor/outdoor game that you just played, new refers to an item you have <b>not</b> seen before within the indoor/outdoor game, and similar refers to an item that is similar to an item you’ve seen before but is not exactly the same. </p><p>Before we begin, let’s go over some brief demonstrations to make sure you understand.</p></div>",,,
,html-keyboard-response,197,248314,0.0-197.0,688.1999998,"<div class='center'><p>Now, let’s see how much you remember about the items you just saw.  For each item, you need to indicate if it was <b>old</b> by pressing the <b>v</b> key, <b>similar</b> by pressing the <b>b</b> key, or <b>new</b> by pressing the <b>n</b> key.</p><p>Old refers to an item that you saw before in the indoor/outdoor game that you just played, new refers to an item you have <b>not</b> seen before within the indoor/outdoor game, and similar refers to an item that is similar to an item you’ve seen before but is not exactly the same. </p><p>Before we begin, let’s go over some brief demonstrations to make sure you understand.</p><div><p><b>[Press the space bar to continue]</b></p></div>",32,,,,,,,,
,items,198,255816,0.0-198.0,null,run_exp/static/audio/clip_3_items.m4a,null,,,,,,,,
,mop,199,260321,0.0-199.0,null,run_exp/static/audio/clip_4_mop.m4a,null,,,,,,,,
,baseball,200,263828,0.0-200.0,null,run_exp/static/audio/clip_5_baseball.m4a,null,,,,,,,,
,trumpet,201,267331,0.0-201.0,null,run_exp/static/audio/clip_6_trumpet.m4a,null,,,,,,,,
,gummies,202,270834,0.0-202.0,null,run_exp/static/audio/clip_7_gummies.m4a,null,,,,,,,,
,osn,203,275341,0.0-203.0,null,run_exp/static/audio/clip_8_osn.m4a,null,,,,,,,,
,old_1,204,281847,0.0-204.0,null,run_exp/static/audio/clip_9_old_trumpet.m4a,null,,,,,,,,
,new_1,205,289352,0.0-205.0,null,run_exp/static/audio/clip_10_new_balloon.m4a,null,,,,,,,,
